CPU,Num
Intel(R) Xeon(R) CPU           E5645  @ 2.40GHz,459
Intel(R) Core(TM) i5-3230M CPU @ 2.60GHz,454
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz,446
Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,444
Intel(R) Xeon(R) CPU E5-2650 v2 @ 2.60GHz,442
Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,431
AMD A8-5600K APU with Radeon(tm) HD Graphics   ,424
AMD Ryzen 7 2700 Eight-Core Processor          ,424
Intel(R) Core(TM) i5-3450 CPU @ 3.10GHz,420
Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,420
Intel(R) Core(TM) i5-4210M CPU @ 2.60GHz,408
Intel(R) Core(TM) i7-4710MQ CPU @ 2.50GHz,404
Intel(R) Xeon(R) CPU E5-2630 0 @ 2.30GHz,396
Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,390
AMD Ryzen 7 5800X 8-Core Processor             ,385
AMD Athlon(tm) II X4 631 Quad-Core Processor,381
AMD Ryzen 5 5600H with Radeon Graphics         ,373
Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,371
Intel(R) Celeron(R) CPU G3900 @ 2.80GHz,367
Intel(R) Core(TM) i5-2500 CPU @ 3.30GHz,365
Intel(R) Core(TM) i3-10105 CPU @ 3.70GHz,359
Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz,335
Intel(R) Core(TM) i7-10870H CPU @ 2.20GHz,334
12th Gen Intel(R) Core(TM) i5-12600KF,330
AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx  ,329
Intel(R) Core(TM) i5-3210M CPU @ 2.50GHz,326
AMD Ryzen 5 5600G with Radeon Graphics         ,317
Intel(R) Celeron(R) CPU G1620 @ 2.70GHz,316
Intel(R) Pentium(R) CPU G3240 @ 3.10GHz,316
Intel(R) Core(TM) i5-4200H CPU @ 2.80GHz,307
AMD Ryzen 7 2700X Eight-Core Processor         ,301
Intel(R) Core(TM) i9-10900F CPU @ 2.80GHz,297
Intel(R) Core(TM) i5-4670T CPU @ 2.30GHz,289
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,288
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz,285
AMD Phenom(tm) II X4 955 Processor,284
Intel(R) Pentium(R) Gold G6400 CPU @ 4.00GHz,283
AMD Ryzen 5 2400G with Radeon Vega Graphics    ,279
Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz,278
Intel(R) Pentium(R) CPU G2020 @ 2.90GHz,278
Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,276
AMD Ryzen 5 1600X Six-Core Processor           ,274
Intel(R) Core(TM) i3-2130 CPU @ 3.40GHz,274
Intel(R) Core(TM) i5 CPU         750  @ 2.67GHz,269
AMD FX(tm)-6300 Six-Core Processor             ,265
12th Gen Intel(R) Core(TM) i7-12700KF,258
Intel(R) Core(TM) i7 CPU         870  @ 2.93GHz,257
Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,253
AMD Athlon(tm) X4 750K Quad Core Processor     ,246
Intel(R) Core(TM) i5-6500T CPU @ 2.50GHz,239
Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz,238
Intel(R) Core(TM) i5-3350P CPU @ 3.10GHz,234
Intel(R) Xeon(R) CPU E5-2665 0 @ 2.40GHz,234
Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,232
Intel(R) Core(TM) i7 CPU         860  @ 2.80GHz,232
AMD Ryzen 3 1200 Quad-Core Processor           ,232
Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz,231
Intel(R) Pentium(R) CPU G645 @ 2.90GHz,231
Intel(R) Core(TM) i7-5500U CPU @ 2.40GHz,230
AMD Athlon(tm) II X2 245 Processor,230
Intel(R) Core(TM) i3-8350K CPU @ 4.00GHz,227
Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz,226
11th Gen Intel(R) Core(TM) i5-11260H @ 2.60GHz,224
Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,224
AMD A10-5800K APU with Radeon(tm) HD Graphics  ,219
Intel(R) Xeon(R) CPU E5-2630 v2 @ 2.60GHz,217
Intel(R) Xeon(R) CPU           X5670  @ 2.93GHz,215
AMD Athlon(tm) X4 870K Quad Core Processor     ,215
Intel(R) Core(TM) i5-10600K CPU @ 4.10GHz,214
Intel(R) Core(TM) i7-6500U CPU @ 2.50GHz,210
Intel(R) Core(TM) i5-4670 CPU @ 3.40GHz,210
Intel(R) Core(TM) i3-7350K CPU @ 4.20GHz,209
Intel(R) Core(TM) i5-6600 CPU @ 3.30GHz,208
AMD Athlon(tm) X4 750 Quad Core Processor      ,207
Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,207
Intel(R) Xeon(R) CPU           X5570  @ 2.93GHz,206
Intel(R) Celeron(R) G4900 CPU @ 3.10GHz,206
Intel(R) Xeon(R) CPU E5-2640 0 @ 2.50GHz,206
Intel(R) Xeon(R) CPU           X5660  @ 2.80GHz,204
Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,203
AMD Ryzen 5 5500U with Radeon Graphics         ,202
Intel(R) Xeon(R) CPU E3-1240 v3 @ 3.40GHz,197
11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,195
AMD Athlon(tm) II X2 240 Processor,194
11th Gen Intel(R) Core(TM) i5-11300H @ 3.10GHz,190
Intel(R) Pentium(R) Gold G6405 CPU @ 4.10GHz,189
Intel(R) Celeron(R) CPU G1820 @ 2.70GHz,186
12th Gen Intel(R) Core(TM) i5-12400F,181
Intel(R) Core(TM) i5-4200M CPU @ 2.50GHz,181
AMD Ryzen 5 3400G with Radeon Vega Graphics    ,177
Intel(R) Core(TM) i5 CPU         760  @ 2.80GHz,177
Intel(R) Core(TM) i5-4210H CPU @ 2.90GHz,176
Intel(R) Pentium(R) CPU G620 @ 2.60GHz,176
AMD Ryzen 5 4500U with Radeon Graphics         ,175
Intel(R) Core(TM) i7 CPU         920  @ 2.67GHz,174
Intel(R) Celeron(R) G5905 CPU @ 3.50GHz,173
Intel(R) Xeon(R) CPU E5-2420 0 @ 1.90GHz,173
Intel(R) Core(TM) i5-2310 CPU @ 2.90GHz,170
AMD Ryzen 5 3550H with Radeon Vega Mobile Gfx  ,166
12th Gen Intel(R) Core(TM) i7-12700F,166
Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,162
AMD FX(tm)-4300 Quad-Core Processor            ,161
Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz,153
Intel(R) Xeon(R) CPU E3-1220 v3 @ 3.10GHz,153
AMD Athlon(tm) II X2 260 Processor,151
Intel(R) Core(TM) i5 CPU         650  @ 3.20GHz,150
Intel(R) Celeron(R) CPU G1610 @ 2.60GHz,149
AMD Ryzen 7 5700U with Radeon Graphics         ,147
Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz,144
Intel(R) Core(TM) i3-6098P CPU @ 3.60GHz,143
"AMD A8-9600 RADEON R7, 10 COMPUTE CORES 4C+6G  ",142
11th Gen Intel(R) Core(TM) i7-11700KF @ 3.60GHz,141
Intel(R) Core(TM) i5-2380P CPU @ 3.10GHz,139
Intel(R) Core(TM) i5-2520M CPU @ 2.50GHz,138
AMD A8-6600K APU with Radeon(tm) HD Graphics   ,137
AMD A4-6300 APU with Radeon(tm) HD Graphics    ,137
Intel(R) Xeon(R) CPU E5-1620 0 @ 3.60GHz,137
Intel(R) Pentium(R) CPU G4600 @ 3.60GHz,134
AMD Ryzen 5 4600U with Radeon Graphics         ,134
Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,133
Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz,130
AMD A8-5500 APU with Radeon(tm) HD Graphics    ,130
AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  ,129
Intel(R) Core(TM) i5-2450M CPU @ 2.50GHz,127
Intel(R) Pentium(R) CPU G630 @ 2.70GHz,124
AMD Ryzen 7 4800U with Radeon Graphics         ,121
Intel(R) Core(TM) i7-4770K CPU @ 3.50GHz,120
AMD Ryzen 9 5900HX with Radeon Graphics        ,120
Intel(R) Celeron(R) CPU G550 @ 2.60GHz,118
Intel(R) Xeon(R) CPU E5-1620 v2 @ 3.70GHz,115
Intel(R) Core(TM) i5-6600K CPU @ 3.50GHz,115
AMD Ryzen 7 4700U with Radeon Graphics         ,114
Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,114
Intel(R) Core(TM) i9-10850K CPU @ 3.60GHz,113
Intel(R) Celeron(R) G4930 CPU @ 3.20GHz,113
Intel(R) Core(TM) i3-3110M CPU @ 2.40GHz,112
Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz,112
Intel(R) Xeon(R) CPU E31220 @ 3.10GHz,111
Intel(R) Xeon(R) CPU E5-2690 0 @ 2.90GHz,111
Intel(R) Xeon(R) CPU E5-2651 v2 @ 1.80GHz,111
AMD Ryzen 7 3800X 8-Core Processor             ,110
11th Gen Intel(R) Core(TM) i5-1155G7 @ 2.50GHz,108
Intel(R) Core(TM) i3-6100T CPU @ 3.20GHz,106
AMD Ryzen 3 3200G with Radeon Vega Graphics    ,106
AMD Athlon(tm) II X4 630 Processor,106
Intel(R) Core(TM) i5-3320M CPU @ 2.60GHz,106
AMD Ryzen 3 3100 4-Core Processor              ,106
Intel(R) Core(TM) i5-10500H CPU @ 2.50GHz,105
Intel(R) Xeon(R) CPU E5-2430 0 @ 2.20GHz,104
Intel(R) Pentium(R) CPU G640 @ 2.80GHz,104
AMD Athlon(tm) II X2 255 Processor,104
Intel(R) Xeon(R) CPU           E5649  @ 2.53GHz,103
AMD Ryzen 7 1700X Eight-Core Processor         ,103
Intel(R) Core(TM) i5-9300HF CPU @ 2.40GHz,101
AMD Athlon 200GE with Radeon Vega Graphics     ,100
Intel(R) Core(TM) I7 7700 CPU @ 3.60GHz,99
Intel(R) Core(TM) i3 CPU         530  @ 2.93GHz,97
AMD Athlon(tm) II X2 270 Processor,96
Intel(R) Xeon(R) CPU E5-1650 0 @ 3.20GHz,96
Intel(R) Core(TM) i5-3550 CPU @ 3.30GHz,95
Intel(R) Core(TM) i5-4430S CPU @ 2.70GHz,95
Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz,94
AMD Athlon(tm) II X4 645 Processor,92
Intel(R) Xeon(R) CPU E5-2470 v2 @ 2.40GHz,89
Intel(R) Core(TM) i7-4710HQ CPU @ 2.50GHz,88
Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz,88
Pentium(R) Dual-Core  CPU      E5300  @ 2.60GHz,88
Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,87
Intel(R) Core(TM) i3-3210 CPU @ 3.20GHz,87
AMD Ryzen 9 5900X 12-Core Processor            ,87
Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz,87
Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz,87
AMD Ryzen 9 3900X 12-Core Processor            ,85
Intel(R) Celeron(R) CPU G530 @ 2.40GHz,84
Intel(R) Core(TM) i5-3337U CPU @ 1.80GHz,83
Intel(R) Core(TM) i7-3630QM CPU @ 2.40GHz,83
Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz,83
Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,82
Intel(R) Xeon(R) CPU E3-1241 v3 @ 3.50GHz,82
Intel(R) Core(TM) i3-8145U CPU @ 2.10GHz,81
Intel(R) Core(TM) i7-3770K CPU @ 3.50GHz,81
Intel(R) Pentium(R) CPU G2010 @ 2.80GHz,79
Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,79
Intel(R) Xeon(R) CPU           X5550  @ 2.67GHz,79
Intel(R) Core(TM) i3-10110U CPU @ 2.10GHz,77
Intel(R) Core(TM) i5-5350U CPU @ 1.80GHz,77
Intel(R) Celeron(R) CPU G1630 @ 2.80GHz,77
Intel(R) Xeon(R) CPU E5-2696 v2 @ 2.50GHz,76
Intel(R) Core(TM) i3-4130T CPU @ 2.90GHz,76
Intel(R) Core(TM) i3-4160T CPU @ 3.10GHz,75
AMD Athlon(tm) X4 850 Quad Core Processor      ,75
Pentium(R) Dual-Core  CPU      E6500  @ 2.93GHz,74
"AMD A10-7800 Radeon R7, 12 Compute Cores 4C+8G ",74
"AMD A8-7600 Radeon R7, 10 Compute Cores 4C+6G  ",74
Intel(R) Core(TM) i9-10900 CPU @ 2.80GHz,73
AMD Ryzen 5 2500U with Radeon Vega Mobile Gfx  ,73
AMD Phenom(tm) II X4 945 Processor,72
12th Gen Intel(R) Core(TM) i7-12700K,71
Intel(R) Core(TM) i7-3770S CPU @ 3.10GHz,70
AMD Ryzen 7 5800 8-Core Processor              ,69
Intel(R) Xeon(R) CPU E5-2630L 0 @ 2.00GHz,69
Intel(R) Core(TM) i5-2500S CPU @ 2.70GHz,68
11th Gen Intel(R) Core(TM) i5-11320H @ 3.20GHz,67
Genuine Intel(R) CPU 0000 @ 3.00GHz,67
AMD Athlon(tm) II X4 635 Processor,67
Intel(R) Xeon(R) CPU           X5560  @ 2.80GHz,67
Intel(R) Xeon(R) CPU E5-4620 0 @ 2.20GHz,66
Intel(R) Core(TM) i9-10900KF CPU @ 3.70GHz,66
Intel(R) Pentium(R) CPU G3258 @ 3.20GHz,66
Intel(R) Core(TM) i7-6800K CPU @ 3.40GHz,66
Intel(R) Core(TM) i7 CPU         950  @ 3.07GHz,66
Intel(R) Core(TM) i3-4150T CPU @ 3.00GHz,65
Intel(R) Core(TM) i5-5250U CPU @ 1.60GHz,65
AMD Athlon(tm) X4 855 Quad Core Processor      ,65
Intel(R) Core(TM) i5-4258U CPU @ 2.40GHz,63
Intel(R) Xeon(R) CPU E5-2420 v2 @ 2.20GHz,63
AMD A4-5300 APU with Radeon(tm) HD Graphics    ,62
Intel(R) Core(TM) I7 8700 CPU @ 3.30GHz,62
Intel(R) Core(TM) i7-6700T CPU @ 2.80GHz,61
"AMD A10-7700K Radeon R7, 10 Compute Cores 4C+6G",61
Intel(R) Xeon(R) CPU E3-1270 v3 @ 3.50GHz,60
Pentium(R) Dual-Core  CPU      E5700  @ 3.00GHz,60
Intel(R) Core(TM)2 Quad CPU    Q8300  @ 2.50GHz,60
Intel(R) Core(TM) i5-4690K CPU @ 3.50GHz,59
AMD FX(tm)-8350 Eight-Core Processor           ,59
11th Gen Intel(R) Core(TM) i9-11900F @ 2.50GHz,59
Pentium(R) Dual-Core  CPU      E5800  @ 3.20GHz,59
AMD Athlon(tm) II X4 638 Quad-Core Processor,59
AMD A10-5700 APU with Radeon(tm) HD Graphics   ,58
Pentium(R) Dual-Core  CPU      E6700  @ 3.20GHz,58
AMD Athlon(tm) II X3 445 Processor,58
AMD Ryzen 5 5600U with Radeon Graphics         ,58
Intel(R) Core(TM) i5-8600 CPU @ 3.10GHz,58
Intel(R) Core(TM) I7 9700 CPU @ 3.0GHz,58
AMD A10-6800K APU with Radeon(tm) HD Graphics  ,58
Genuine Intel(R) CPU 0000 @ 2.60GHz,58
Intel(R) Celeron(R) CPU G540 @ 2.50GHz,57
11th Gen Intel(R) Core(TM) i7-11370H @ 3.30GHz,57
Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,57
Intel(R) Core(TM) i5-7400T CPU @ 2.40GHz,56
Intel(R) Xeon(R) CPU E3-1270 V2 @ 3.50GHz,56
Intel(R) Core(TM) i3-2310M CPU @ 2.10GHz,56
Intel(R) Xeon(R) CPU E5-2643 0 @ 3.30GHz,55
Intel(R) Core(TM) i3-2350M CPU @ 2.30GHz,55
AMD Ryzen 9 5950X 16-Core Processor            ,54
AMD Sempron(tm) X2 180 Processor,54
Intel(R) Core(TM) i5-3570K CPU @ 3.40GHz,54
Not Available,54
Intel(R) Core(TM) i7-4700MQ CPU @ 2.40GHz,53
Intel(R) Core(TM) i5-11500 CPU @ 2.8GHz,53
Intel(R) Core(TM) i5-2430M CPU @ 2.40GHz,53
AMD Athlon(tm) II X4 651 Quad-Core Processor,53
12th Gen Intel(R) Core(TM) i5-12600K,53
Intel(R) Xeon(R) CPU E5-4620 v3 @ 2.00GHz,53
AMD Ryzen 9 4900H with Radeon Graphics         ,53
AMD Athlon(tm) II X2 280 Processor,52
Intel(R) Core(TM) i3-5005U CPU @ 2.00GHz,52
Intel(R) Core(TM) i7-3820 CPU @ 3.60GHz,52
Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,52
Intel(R) Core(TM)2 Duo CPU     E8400  @ 3.00GHz,52
Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,52
"AMD A6-7400K Radeon R5, 6 Compute Cores 2C+4G  ",52
Intel(R) Core(TM) i7-2600K CPU @ 3.40GHz,51
Intel(R) Xeon(R) CPU           X3440  @ 2.53GHz,51
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz,51
Intel(R) Xeon(R) CPU E5-1650 v2 @ 3.50GHz,51
AMD A6-3670 APU with Radeon(tm) HD Graphics,51
Genuine Intel(R) CPU 0000 @ 2.40GHz,50
AMD FX(tm)-8320 Eight-Core Processor           ,50
11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz,50
Intel(R) Core(TM) i3 CPU       M 380  @ 2.53GHz,49
Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,49
Pentium(R) Dual-Core  CPU      E6600  @ 3.06GHz,48
Intel(R) Core(TM) i5-8400T CPU @ 1.70GHz,48
Intel(R) Pentium(R) CPU G840 @ 2.80GHz,48
11th Gen Intel(R) Core(TM) i5-11600K @ 3.90GHz,47
AMD FX(tm)-6100 Six-Core Processor             ,47
Intel(R) Pentium(R) CPU G860 @ 3.00GHz,47
Intel(R) Core(TM) i5-2410M CPU @ 2.30GHz,47
Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz,47
Intel(R) Core(TM) i5-5257U CPU @ 2.70GHz,47
"AMD A10-9700 RADEON R7, 10 COMPUTE CORES 4C+6G ",46
AMD A8-5550M APU with Radeon(tm) HD Graphics   ,46
AMD A8-6500 APU with Radeon(tm) HD Graphics    ,46
AMD Ryzen 7 5800U with Radeon Graphics         ,46
Intel(R) Core(TM) i7-7820HQ CPU @ 2.90GHz,46
Intel(R) Core(TM) i3 CPU         550  @ 3.20GHz,45
Intel(R) Core(TM) i3-2330M CPU @ 2.20GHz,45
Intel(R) Xeon(R) CPU E5-2637 v2 @ 3.50GHz,45
